Japan, Life tables (period 1x1), Males	Last modified: 09 Dec 2024;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0      0.09552  0.08953  0.30  100000    8953   93726  4981217  49.81
  1947           1      0.03705  0.03637  0.50   91047    3312   89392  4887492  53.68
  1947           2      0.01722  0.01707  0.50   87736    1498   86987  4798100  54.69
  1947           3      0.01134  0.01128  0.50   86238     972   85752  4711113  54.63
  1947           4      0.00747  0.00745  0.50   85266     635   84949  4625361  54.25
  1947           5      0.00511  0.00510  0.50   84631     432   84415  4540412  53.65
  1947           6      0.00394  0.00393  0.50   84199     331   84034  4455997  52.92
  1947           7      0.00333  0.00332  0.50   83869     279   83729  4371963  52.13
  1947           8      0.00250  0.00250  0.50   83590     209   83486  4288234  51.30
  1947           9      0.00222  0.00222  0.50   83381     185   83289  4204748  50.43
  1947          10      0.00201  0.00200  0.50   83197     167   83113  4121459  49.54
  1947          11      0.00174  0.00174  0.50   83030     144   82958  4038346  48.64
  1947          12      0.00173  0.00173  0.50   82886     143   82814  3955388  47.72
  1947          13      0.00181  0.00181  0.50   82742     150   82667  3872574  46.80
  1947          14      0.00205  0.00205  0.50   82592     169   82508  3789907  45.89
  1947          15      0.00272  0.00272  0.50   82423     224   82311  3707400  44.98
  1947          16      0.00317  0.00317  0.50   82199     260   82069  3625089  44.10
  1947          17      0.00424  0.00423  0.50   81938     347   81765  3543020  43.24
  1947          18      0.00542  0.00540  0.50   81592     441   81371  3461255  42.42
  1947          19      0.00685  0.00683  0.50   81151     554   80874  3379884  41.65
  1947          20      0.00757  0.00754  0.50   80597     608   80293  3299010  40.93
  1947          21      0.00835  0.00831  0.50   79989     665   79656  3218717  40.24
  1947          22      0.00877  0.00874  0.50   79324     693   78977  3139061  39.57
  1947          23      0.00921  0.00917  0.50   78631     721   78271  3060083  38.92
  1947          24      0.00919  0.00914  0.50   77910     712   77554  2981813  38.27
  1947          25      0.00903  0.00899  0.50   77198     694   76851  2904259  37.62
  1947          26      0.00896  0.00892  0.50   76504     682   76162  2827408  36.96
  1947          27      0.00866  0.00862  0.50   75821     653   75495  2751246  36.29
  1947          28      0.00835  0.00831  0.50   75168     625   74855  2675751  35.60
  1947          29      0.00847  0.00843  0.50   74543     629   74229  2600896  34.89
  1947          30      0.00809  0.00805  0.50   73914     595   73617  2526667  34.18
  1947          31      0.00800  0.00797  0.50   73319     584   73027  2453051  33.46
  1947          32      0.00850  0.00847  0.50   72735     616   72427  2380024  32.72
  1947          33      0.00847  0.00844  0.50   72119     608   71815  2307597  32.00
  1947          34      0.00835  0.00831  0.50   71510     594   71213  2235783  31.27
  1947          35      0.00843  0.00839  0.50   70916     595   70618  2164569  30.52
  1947          36      0.00844  0.00841  0.50   70321     591   70025  2093951  29.78
  1947          37      0.00881  0.00877  0.50   69729     612   69424  2023926  29.03
  1947          38      0.00876  0.00872  0.50   69118     603   68817  1954502  28.28
  1947          39      0.00883  0.00879  0.50   68515     602   68214  1885686  27.52
  1947          40      0.00906  0.00902  0.50   67913     612   67607  1817472  26.76
  1947          41      0.00941  0.00936  0.50   67301     630   66985  1749865  26.00
  1947          42      0.00971  0.00967  0.50   66670     645   66348  1682879  25.24
  1947          43      0.01025  0.01020  0.50   66026     673   65689  1616531  24.48
  1947          44      0.01081  0.01075  0.50   65353     702   65001  1550842  23.73
  1947          45      0.01106  0.01100  0.50   64650     711   64295  1485841  22.98
  1947          46      0.01155  0.01149  0.50   63939     734   63572  1421546  22.23
  1947          47      0.01233  0.01225  0.50   63205     775   62817  1357974  21.49
  1947          48      0.01298  0.01290  0.50   62430     805   62027  1295157  20.75
  1947          49      0.01441  0.01430  0.50   61625     881   61184  1233130  20.01
  1947          50      0.01459  0.01449  0.50   60743     880   60303  1171946  19.29
  1947          51      0.01624  0.01611  0.50   59863     965   59381  1111642  18.57
  1947          52      0.01747  0.01732  0.50   58899    1020   58389  1052261  17.87
  1947          53      0.01918  0.01900  0.50   57879    1100   57329   993872  17.17
  1947          54      0.02038  0.02018  0.50   56779    1146   56207   936543  16.49
  1947          55      0.02135  0.02112  0.50   55634    1175   55046   880336  15.82
  1947          56      0.02293  0.02267  0.50   54459    1234   53841   825290  15.15
  1947          57      0.02642  0.02607  0.50   53224    1388   52530   771449  14.49
  1947          58      0.02940  0.02897  0.50   51837    1502   51086   718918  13.87
  1947          59      0.02983  0.02939  0.50   50335    1479   49595   667833  13.27
  1947          60      0.03566  0.03503  0.50   48855    1712   48000   618238  12.65
  1947          61      0.03692  0.03625  0.50   47144    1709   46289   570238  12.10
  1947          62      0.04102  0.04020  0.50   45435    1826   44522   523949  11.53
  1947          63      0.04446  0.04349  0.50   43608    1897   42660   479427  10.99
  1947          64      0.04872  0.04756  0.50   41712    1984   40720   436767  10.47
  1947          65      0.05357  0.05217  0.50   39728    2073   38691   396048   9.97
  1947          66      0.05699  0.05541  0.50   37655    2086   36612   357356   9.49
  1947          67      0.06205  0.06018  0.50   35569    2141   34498   320744   9.02
  1947          68      0.06811  0.06587  0.50   33428    2202   32327   286246   8.56
  1947          69      0.07197  0.06947  0.50   31226    2169   30142   253918   8.13
  1947          70      0.08095  0.07780  0.50   29057    2261   27927   223777   7.70
  1947          71      0.08412  0.08073  0.50   26796    2163   25715   195850   7.31
  1947          72      0.09237  0.08829  0.50   24633    2175   23546   170135   6.91
  1947          73      0.10130  0.09642  0.50   22458    2165   21376   146589   6.53
  1947          74      0.10572  0.10041  0.50   20293    2038   19274   125214   6.17
  1947          75      0.11755  0.11102  0.50   18255    2027   17242   105940   5.80
  1947          76      0.12261  0.11553  0.50   16229    1875   15291    88698   5.47
  1947          77      0.13746  0.12862  0.50   14354    1846   13431    73407   5.11
  1947          78      0.16024  0.14835  0.50   12508    1856   11580    59976   4.80
  1947          79      0.17075  0.15732  0.50   10652    1676    9814    48396   4.54
  1947          80      0.17654  0.16222  0.50    8976    1456    8248    38582   4.30
  1947          81      0.19728  0.17957  0.50    7520    1350    6845    30334   4.03
  1947          82      0.21251  0.19210  0.50    6170    1185    5577    23489   3.81
  1947          83      0.23374  0.20929  0.50    4985    1043    4463    17912   3.59
  1947          84      0.22949  0.20587  0.50    3941     811    3536    13449   3.41
  1947          85      0.26699  0.23555  0.50    3130     737    2761     9913   3.17
  1947          86      0.29206  0.25484  0.50    2393     610    2088     7152   2.99
  1947          87      0.31303  0.27067  0.50    1783     483    1542     5064   2.84
  1947          88      0.32096  0.27657  0.50    1300     360    1121     3523   2.71
  1947          89      0.34250  0.29242  0.50     941     275     803     2402   2.55
  1947          90      0.35381  0.30063  0.50     666     200     566     1599   2.40
  1947          91      0.42270  0.34895  0.50     466     162     384     1033   2.22
  1947          92      0.43183  0.35515  0.50     303     108     249      649   2.14
  1947          93      0.45464  0.37043  0.50     195      72     159      400   2.05
  1947          94      0.47952  0.38678  0.50     123      48      99      241   1.96
  1947          95      0.50213  0.40136  0.50      75      30      60      141   1.87
  1947          96      0.52768  0.41752  0.50      45      19      36       81   1.79
  1947          97      0.55309  0.43327  0.50      26      11      21       45   1.72
  1947          98      0.57823  0.44855  0.50      15       7      12       25   1.66
  1947          99      0.60296  0.46329  0.50       8       4       6       13   1.59
  1947         100      0.62718  0.47746  0.50       4       2       3        7   1.54
  1947         101      0.65078  0.49101  0.50       2       1       2        3   1.49
  1947         102      0.67366  0.50392  0.50       1       1       1        2   1.44
  1947         103      0.69575  0.51618  0.50       1       0       0        1   1.40
  1947         104      0.71696  0.52777  0.50       0       0       0        0   1.36
  1947         105      0.73726  0.53868  0.50       0       0       0        0   1.33
  1947         106      0.75660  0.54893  0.50       0       0       0        0   1.30
  1947         107      0.77494  0.55853  0.50       0       0       0        0   1.27
  1947         108      0.79228  0.56748  0.50       0       0       0        0   1.25
  1947         109      0.80862  0.57581  0.50       0       0       0        0   1.23
  1947         110+     0.82396  1.00000  1.21       0       0       0        0   1.21
  1948           0      0.06899  0.06561  0.25  100000    6561   95101  5502747  55.03
  1948           1      0.01943  0.01924  0.50   93439    1798   92541  5407646  57.87
  1948           2      0.01041  0.01035  0.50   91642     949   91167  5315105  58.00
  1948           3      0.00726  0.00723  0.50   90693     656   90365  5223938  57.60
  1948           4      0.00506  0.00505  0.50   90037     455   89810  5133573  57.02
  1948           5      0.00359  0.00359  0.50   89583     321   89422  5043763  56.30
  1948           6      0.00286  0.00286  0.50   89262     255   89134  4954341  55.50
  1948           7      0.00250  0.00250  0.50   89007     222   88895  4865207  54.66
  1948           8      0.00208  0.00208  0.50   88784     184   88692  4776311  53.80
  1948           9      0.00176  0.00176  0.50   88600     156   88522  4687619  52.91
  1948          10      0.00170  0.00170  0.50   88444     150   88369  4599098  52.00
  1948          11      0.00145  0.00144  0.50   88294     128   88230  4510729  51.09
  1948          12      0.00143  0.00143  0.50   88166     126   88103  4422499  50.16
  1948          13      0.00146  0.00146  0.50   88040     129   87975  4334396  49.23
  1948          14      0.00167  0.00167  0.50   87911     146   87838  4246421  48.30
  1948          15      0.00204  0.00204  0.50   87765     179   87675  4158583  47.38
  1948          16      0.00267  0.00267  0.50   87586     234   87469  4070908  46.48
  1948          17      0.00334  0.00333  0.50   87352     291   87207  3983439  45.60
  1948          18      0.00428  0.00427  0.50   87061     372   86875  3896232  44.75
  1948          19      0.00534  0.00533  0.50   86689     462   86458  3809357  43.94
  1948          20      0.00638  0.00636  0.50   86228     548   85953  3722898  43.18
  1948          21      0.00691  0.00688  0.50   85679     590   85384  3636945  42.45
  1948          22      0.00739  0.00736  0.50   85089     626   84776  3551561  41.74
  1948          23      0.00799  0.00796  0.50   84463     672   84127  3466785  41.05
  1948          24      0.00823  0.00820  0.50   83790     687   83447  3382659  40.37
  1948          25      0.00817  0.00814  0.50   83104     676   82766  3299211  39.70
  1948          26      0.00771  0.00768  0.50   82428     633   82111  3216446  39.02
  1948          27      0.00803  0.00800  0.50   81794     654   81467  3134335  38.32
  1948          28      0.00750  0.00748  0.50   81140     607   80837  3052867  37.62
  1948          29      0.00767  0.00764  0.50   80534     615   80226  2972030  36.90
  1948          30      0.00718  0.00715  0.50   79918     572   79632  2891805  36.18
  1948          31      0.00724  0.00721  0.50   79347     572   79061  2812172  35.44
  1948          32      0.00714  0.00712  0.50   78774     561   78494  2733112  34.70
  1948          33      0.00738  0.00735  0.50   78214     575   77926  2654617  33.94
  1948          34      0.00725  0.00722  0.50   77639     561   77358  2576691  33.19
  1948          35      0.00716  0.00714  0.50   77078     550   76803  2499333  32.43
  1948          36      0.00751  0.00748  0.50   76528     573   76242  2422530  31.66
  1948          37      0.00736  0.00733  0.50   75955     557   75677  2346288  30.89
  1948          38      0.00758  0.00755  0.50   75399     569   75114  2270611  30.11
  1948          39      0.00773  0.00771  0.50   74829     577   74541  2195498  29.34
  1948          40      0.00795  0.00792  0.50   74253     588   73959  2120957  28.56
  1948          41      0.00814  0.00811  0.50   73665     597   73366  2046998  27.79
  1948          42      0.00849  0.00845  0.50   73067     617   72759  1973632  27.01
  1948          43      0.00885  0.00881  0.50   72450     638   72131  1900873  26.24
  1948          44      0.00927  0.00923  0.50   71812     663   71480  1828743  25.47
  1948          45      0.00979  0.00974  0.50   71149     693   70802  1757262  24.70
  1948          46      0.01000  0.00995  0.50   70456     701   70105  1686460  23.94
  1948          47      0.01036  0.01031  0.50   69755     719   69395  1616355  23.17
  1948          48      0.01116  0.01110  0.50   69036     766   68653  1546960  22.41
  1948          49      0.01205  0.01198  0.50   68269     818   67860  1478307  21.65
  1948          50      0.01362  0.01353  0.50   67451     913   66995  1410447  20.91
  1948          51      0.01355  0.01346  0.50   66539     896   66091  1343452  20.19
  1948          52      0.01522  0.01511  0.50   65643     992   65147  1277361  19.46
  1948          53      0.01640  0.01627  0.50   64651    1052   64126  1212214  18.75
  1948          54      0.01775  0.01759  0.50   63600    1119   63040  1148088  18.05
  1948          55      0.01902  0.01884  0.50   62481    1177   61893  1085048  17.37
  1948          56      0.01983  0.01963  0.50   61304    1204   60702  1023155  16.69
  1948          57      0.02171  0.02148  0.50   60101    1291   59455   962453  16.01
  1948          58      0.02504  0.02473  0.50   58810    1455   58082   902998  15.35
  1948          59      0.02691  0.02656  0.50   57355    1523   56593   844916  14.73
  1948          60      0.02813  0.02774  0.50   55832    1549   55057   788322  14.12
  1948          61      0.03187  0.03137  0.50   54283    1703   53432   733265  13.51
  1948          62      0.03411  0.03354  0.50   52580    1763   51699   679833  12.93
  1948          63      0.03743  0.03674  0.50   50817    1867   49883   628135  12.36
  1948          64      0.04071  0.03990  0.50   48950    1953   47973   578251  11.81
  1948          65      0.04387  0.04292  0.50   46997    2017   45988   530278  11.28
  1948          66      0.04650  0.04544  0.50   44980    2044   43958   484290  10.77
  1948          67      0.05201  0.05069  0.50   42936    2176   41848   440332  10.26
  1948          68      0.05580  0.05428  0.50   40759    2212   39653   398484   9.78
  1948          69      0.06140  0.05957  0.50   38547    2296   37399   358831   9.31
  1948          70      0.06349  0.06154  0.50   36251    2231   35135   321432   8.87
  1948          71      0.07082  0.06840  0.50   34020    2327   32856   286297   8.42
  1948          72      0.07679  0.07396  0.50   31693    2344   30521   253441   8.00
  1948          73      0.08061  0.07749  0.50   29349    2274   28212   222920   7.60
  1948          74      0.09082  0.08687  0.50   27075    2352   25899   194707   7.19
  1948          75      0.09241  0.08833  0.50   24723    2184   23631   168809   6.83
  1948          76      0.09923  0.09454  0.50   22539    2131   21474   145178   6.44
  1948          77      0.10993  0.10421  0.50   20408    2127   19345   123704   6.06
  1948          78      0.12301  0.11588  0.50   18282    2119   17222   104359   5.71
  1948          79      0.13405  0.12563  0.50   16163    2031   15148    87137   5.39
  1948          80      0.14655  0.13654  0.50   14132    1930   13168    71989   5.09
  1948          81      0.15677  0.14537  0.50   12203    1774   11316    58822   4.82
  1948          82      0.16561  0.15294  0.50   10429    1595    9631    47506   4.56
  1948          83      0.18471  0.16909  0.50    8834    1494    8087    37874   4.29
  1948          84      0.19572  0.17827  0.50    7340    1309    6686    29788   4.06
  1948          85      0.20441  0.18546  0.50    6032    1119    5472    23102   3.83
  1948          86      0.24028  0.21451  0.50    4913    1054    4386    17629   3.59
  1948          87      0.24198  0.21586  0.50    3859     833    3443    13243   3.43
  1948          88      0.25166  0.22353  0.50    3026     676    2688     9801   3.24
  1948          89      0.30261  0.26284  0.50    2350     618    2041     7113   3.03
  1948          90      0.30284  0.26302  0.50    1732     456    1504     5072   2.93
  1948          91      0.32872  0.28232  0.50    1276     360    1096     3568   2.80
  1948          92      0.33444  0.28652  0.50     916     262     785     2472   2.70
  1948          93      0.33301  0.28548  0.50     654     187     560     1687   2.58
  1948          94      0.37726  0.31739  0.50     467     148     393     1126   2.41
  1948          95      0.39879  0.33249  0.50     319     106     266      733   2.30
  1948          96      0.42072  0.34760  0.50     213      74     176      468   2.20
  1948          97      0.44296  0.36264  0.50     139      50     114      292   2.10
  1948          98      0.46544  0.37757  0.50      88      33      72      178   2.01
  1948          99      0.48805  0.39232  0.50      55      22      44      106   1.93
  1948         100      0.51072  0.40683  0.50      33      14      27       62   1.86
  1948         101      0.53334  0.42106  0.50      20       8      16       35   1.79
  1948         102      0.55583  0.43495  0.50      11       5       9       20   1.72
  1948         103      0.57809  0.44846  0.50       6       3       5       11   1.66
  1948         104      0.60004  0.46156  0.50       4       2       3        6   1.61
  1948         105      0.62159  0.47421  0.50       2       1       1        3   1.56
  1948         106      0.64267  0.48638  0.50       1       0       1        2   1.51
  1948         107      0.66322  0.49806  0.50       1       0       0        1   1.47
  1948         108      0.68316  0.50922  0.50       0       0       0        0   1.44
  1948         109      0.70246  0.51986  0.50       0       0       0        0   1.41
  1948         110+     0.72105  1.00000  1.39       0       0       0        0   1.39
  1949           0      0.06972  0.06628  0.26  100000    6628   95066  5597051  55.97
  1949           1      0.01845  0.01828  0.50   93372    1707   92519  5501985  58.93
  1949           2      0.01115  0.01109  0.50   91665    1017   91157  5409466  59.01
  1949           3      0.00749  0.00747  0.50   90649     677   90310  5318309  58.67
  1949           4      0.00507  0.00506  0.50   89972     455   89744  5227999  58.11
  1949           5      0.00365  0.00364  0.50   89517     326   89354  5138255  57.40
  1949           6      0.00279  0.00279  0.50   89191     248   89066  5048901  56.61
  1949           7      0.00214  0.00213  0.50   88942     190   88847  4959834  55.76
  1949           8      0.00176  0.00176  0.50   88752     156   88674  4870987  54.88
  1949           9      0.00151  0.00151  0.50   88596     134   88529  4782313  53.98
  1949          10      0.00135  0.00135  0.50   88462     120   88403  4693783  53.06
  1949          11      0.00127  0.00127  0.50   88343     112   88287  4605381  52.13
  1949          12      0.00125  0.00125  0.50   88230     110   88175  4517094  51.20
  1949          13      0.00129  0.00129  0.50   88120     114   88063  4428919  50.26
  1949          14      0.00140  0.00140  0.50   88006     123   87944  4340856  49.32
  1949          15      0.00166  0.00166  0.50   87883     146   87810  4252912  48.39
  1949          16      0.00221  0.00221  0.50   87737     194   87640  4165102  47.47
  1949          17      0.00291  0.00291  0.50   87543     255   87415  4077462  46.58
  1949          18      0.00349  0.00349  0.50   87288     304   87136  3990047  45.71
  1949          19      0.00442  0.00441  0.50   86984     384   86792  3902911  44.87
  1949          20      0.00527  0.00525  0.50   86600     455   86373  3816119  44.07
  1949          21      0.00579  0.00578  0.50   86146     498   85897  3729746  43.30
  1949          22      0.00651  0.00649  0.50   85648     556   85370  3643849  42.54
  1949          23      0.00680  0.00677  0.50   85092     576   84804  3558479  41.82
  1949          24      0.00716  0.00713  0.50   84516     603   84215  3473675  41.10
  1949          25      0.00713  0.00711  0.50   83913     596   83615  3389460  40.39
  1949          26      0.00703  0.00701  0.50   83317     584   83025  3305845  39.68
  1949          27      0.00679  0.00677  0.50   82733     560   82453  3222820  38.95
  1949          28      0.00678  0.00676  0.50   82173     555   81895  3140367  38.22
  1949          29      0.00675  0.00673  0.50   81618     549   81343  3058472  37.47
  1949          30      0.00645  0.00643  0.50   81069     521   80808  2977129  36.72
  1949          31      0.00645  0.00643  0.50   80547     518   80289  2896321  35.96
  1949          32      0.00629  0.00628  0.50   80030     502   79779  2816032  35.19
  1949          33      0.00642  0.00640  0.50   79527     509   79273  2736254  34.41
  1949          34      0.00655  0.00653  0.50   79018     516   78761  2656981  33.62
  1949          35      0.00665  0.00663  0.50   78503     521   78242  2578220  32.84
  1949          36      0.00667  0.00665  0.50   77982     519   77723  2499978  32.06
  1949          37      0.00680  0.00678  0.50   77464     525   77201  2422255  31.27
  1949          38      0.00695  0.00692  0.50   76938     533   76672  2345054  30.48
  1949          39      0.00716  0.00714  0.50   76406     545   76133  2268382  29.69
  1949          40      0.00723  0.00720  0.50   75860     546   75587  2192249  28.90
  1949          41      0.00769  0.00766  0.50   75314     577   75025  2116662  28.10
  1949          42      0.00769  0.00766  0.50   74737     572   74451  2041637  27.32
  1949          43      0.00836  0.00832  0.50   74165     617   73856  1967186  26.52
  1949          44      0.00865  0.00862  0.50   73547     634   73230  1893330  25.74
  1949          45      0.00891  0.00887  0.50   72913     647   72590  1820100  24.96
  1949          46      0.00949  0.00944  0.50   72267     683   71925  1747510  24.18
  1949          47      0.01036  0.01030  0.50   71584     738   71215  1675584  23.41
  1949          48      0.01047  0.01041  0.50   70847     738   70478  1604369  22.65
  1949          49      0.01144  0.01138  0.50   70109     798   69710  1533891  21.88
  1949          50      0.01199  0.01192  0.50   69311     826   68898  1464181  21.12
  1949          51      0.01362  0.01353  0.50   68485     927   68022  1395283  20.37
  1949          52      0.01366  0.01357  0.50   67559     917   67100  1327261  19.65
  1949          53      0.01531  0.01520  0.50   66642    1013   66135  1260161  18.91
  1949          54      0.01661  0.01647  0.50   65629    1081   65089  1194025  18.19
  1949          55      0.01814  0.01798  0.50   64548    1160   63968  1128937  17.49
  1949          56      0.01928  0.01909  0.50   63388    1210   62783  1064969  16.80
  1949          57      0.02073  0.02052  0.50   62177    1276   61539  1002186  16.12
  1949          58      0.02341  0.02314  0.50   60902    1409   60197   940647  15.45
  1949          59      0.02562  0.02530  0.50   59492    1505   58740   880450  14.80
