"","Pop","Year","Sex","Cause","Age","Count"
"1","USA",2000,1,"S001",0,116.731892152889
"2","USA",2000,1,"S001",1,89.3480900471404
"3","USA",2000,1,"S001",2,68.9152282006068
"4","USA",2000,1,"S001",3,53.8022635617569
"5","USA",2000,1,"S001",4,42.7060158854789
"6","USA",2000,1,"S001",5,34.5854095736708
"7","USA",2000,1,"S001",6,28.6467538325433
"8","USA",2000,1,"S001",7,24.3181729951564
"9","USA",2000,1,"S001",8,21.1792756438253
"10","USA",2000,1,"S001",9,18.9421226461152
"11","USA",2000,1,"S001",10,17.3986795523233
"12","USA",2000,1,"S001",11,16.4137048292734
"13","USA",2000,1,"S001",12,15.8954261223542
"14","USA",2000,1,"S001",13,15.7930551145933
"15","USA",2000,1,"S001",14,16.0831805184333
"16","USA",2000,1,"S001",15,16.7686558840564
"17","USA",2000,1,"S001",16,17.8780682605323
"18","USA",2000,1,"S001",17,19.4611669974633
"19","USA",2000,1,"S001",18,21.6037842419571
"20","USA",2000,1,"S001",19,24.4171894935226
"21","USA",2000,1,"S001",20,28.0651090115153
"22","USA",2000,1,"S001",21,32.7492370847433
"23","USA",2000,1,"S001",22,38.7481282334467
"24","USA",2000,1,"S001",23,46.3916591531611
"25","USA",2000,1,"S001",24,56.1208318427818
"26","USA",2000,1,"S001",25,68.4225085820104
"27","USA",2000,1,"S001",26,83.9296078711558
"28","USA",2000,1,"S001",27,103.25244271261
"29","USA",2000,1,"S001",28,127.146664663775
"30","USA",2000,1,"S001",29,156.124714054341
"31","USA",2000,1,"S001",30,190.742999600978
"32","USA",2000,1,"S001",31,230.813979109981
"33","USA",2000,1,"S001",32,276.144486186528
"34","USA",2000,1,"S001",33,325.394362132861
"35","USA",2000,1,"S001",34,377.278213459153
"36","USA",2000,1,"S001",35,429.536761572678
"37","USA",2000,1,"S001",36,480.166780604416
"38","USA",2000,1,"S001",37,527.064707179811
"39","USA",2000,1,"S001",38,568.531519284147
"40","USA",2000,1,"S001",39,604.024266839965
"41","USA",2000,1,"S001",40,632.998087638946
"42","USA",2000,1,"S001",41,657.079122276594
"43","USA",2000,1,"S001",42,676.239591862424
"44","USA",2000,1,"S001",43,691.449266394493
"45","USA",2000,1,"S001",44,702.275318886957
"46","USA",2000,1,"S001",45,707.512226653546
"47","USA",2000,1,"S001",46,706.525525484227
"48","USA",2000,1,"S001",47,697.704831983957
"49","USA",2000,1,"S001",48,681.152734911037
"50","USA",2000,1,"S001",49,657.322801484891
"51","USA",2000,1,"S001",50,627.271750473966
"52","USA",2000,1,"S001",51,593.141475046913
"53","USA",2000,1,"S001",52,556.313378010972
"54","USA",2000,1,"S001",53,519.477107553877
"55","USA",2000,1,"S001",54,483.64890567854
"56","USA",2000,1,"S001",55,451.272451149449
