country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
USA,1979,1,short,4,S000,1044958,25996.86,4599.64,3185.33,3770.06,15570.7,21086.34,18359.86,16035.9,16323.62,20769.87,32386.51,53862.78,78844.59,103507.45,129103.19,140141.42,132245.71,110131.57,119036.63,75233.98,43802.65,33774.8,10027.86,8723.46,1304.39
USA,1979,1,short,4,S001,10025.5,445.89,217.87,58.76,57.35,97.54,118,137.73,157.57,173.44,223.56,366.73,525.64,722.59,898.26,1152.74,1236.73,1258.24,1030.12,1146.73,718.11,428.64,330.05,98.59,84.15,14.45
USA,1979,1,short,4,S002,227984.31,89.92,368.91,491.9,474.78,757.25,933.69,1146,1402.06,2028.7,3617.22,7346.11,14521.84,22706.61,30496.54,37088.05,37049.35,30356.48,20998.63,16110.26,11545.7,4560.44,3772.62,786.41,717.28,68.88
USA,1979,1,short,4,S003,2855.33,92.35,84.11,30.13,41.96,56.48,83,73.92,66.67,80.58,77.61,83.07,120.74,197.3,216.29,264.9,318.94,298.69,313.99,354.6,215.79,138.83,105.88,32.96,29.91,3.03
USA,1979,1,short,4,S004,19741.03,223.73,96.55,66.33,85.45,111.16,162.64,211.24,244.85,316.23,433.42,611.06,1007.75,1549.05,2049.02,2601.04,2798.3,2713.23,2228.99,2231,1425.56,805.39,637.06,168.25,137.41,30.9
USA,1979,1,short,4,S005,8399.82,7.18,21.17,26.25,14.64,94.92,196.46,321.36,371.41,357.93,466.91,527.06,654.89,685.98,663.18,627.08,608.87,661.87,901.2,1191.46,701.96,489.65,376,113.66,94.19,19.51
USA,1979,1,short,4,S006,12722.13,595.07,362.98,182.22,179.72,380.44,341.69,305.34,303.74,301,336.75,438.5,664.68,903.28,1143.4,1428.24,1495.17,1479.69,1003.03,877.18,629.88,247.07,190.81,56.26,45.85,10.43
USA,1979,1,short,4,S007,398266.57,304.85,131.87,54.06,83.3,230.53,444.43,728.09,1367.54,2849.23,5764.85,11453.43,20918.41,32761.85,43622.57,54389.04,59899.19,57673.03,48992.42,56597.87,34910.14,21690.32,16588.37,5102.71,4408.62,694.32
USA,1979,1,short,4,S008,72244.67,74.66,24.96,25.81,33.81,59.84,132.92,196.71,280.05,444.26,703.68,1150.12,2009.95,3174.01,4968.89,7551.85,10714.6,12601.53,12726.31,15370.69,9622.56,5748.41,4477.66,1270.5,1121.32,149.06
USA,1979,1,short,4,S009,26959.54,19.66,6.25,1.81,7.48,31.24,39.29,69.43,94.75,139.49,205.62,364.92,726.25,1288.88,2169.41,3288.92,4132.44,4297.31,4201.22,5875.17,3310.08,2566.31,1844.88,722.17,617.51,104.74
USA,1979,1,short,4,S010,17407.17,574.17,186.34,65.87,46.69,71.86,87.14,125.29,151.31,196.5,217.97,300.58,519.3,730.98,932.1,1383.68,1885.22,2271.84,3004.6,4655.74,2680.29,1976.24,1459.8,516.79,436.86,80.03
USA,1979,1,short,4,S011,48226.91,286.32,108.04,37.64,51.35,88.31,132.28,150.87,162.8,207.72,344.43,685.38,1447.49,2804.89,5035.38,7571.32,9211.49,8529.29,6344.66,5027.26,3457.39,1569.03,1236.86,332.02,298.96,32.98
USA,1979,1,short,4,S012,40019.43,303.32,69.82,22.26,30.6,57.16,174.23,457.69,849.06,1329.79,1950.44,2804.79,4008.12,4619.96,4839.7,5006.35,4299.97,3551.36,2724.22,2920.6,1889.74,1030.73,802.36,228.33,202.97,25.32
USA,1979,1,short,4,S013,3607.82,19.86,15.48,8.48,12.04,24.26,27.89,31.48,54.58,48.91,61.14,104.99,186.57,240.84,352.71,474.76,478.84,529.62,411.99,523.4,321.35,202.08,154.74,47.34,44.19,3.13
USA,1979,1,short,4,S014,14829.49,168.92,24.22,18.52,20.99,38.33,61.3,100.76,116.17,126.97,187.23,248.22,422.4,641.94,993.67,1517.82,1973.53,2418.94,2506.56,3243.02,1961.52,1281.76,990.32,291.43,258.42,32.98
USA,1979,1,short,4,S015,24571.96,22000.07,592.39,159.69,156.93,211.14,180.62,140.94,109.03,113.57,84.38,107.82,122.94,119.24,102.38,105.69,106.96,72.51,43.61,42.05,22.33,19.73,15.35,4.38,2.51,1.88
USA,1979,1,short,4,S016,117096.33,790.89,2288.68,1935.6,2472.97,13260.24,17970.77,14163,10304.3,7609.3,6094.66,5793.73,6005.81,5697.2,5023.93,4651.7,3931.85,3532.07,2700,2869.61,1821.57,1048.02,792.05,256.05,223.31,32.74
USA,1979,2,short,4,S000,868882,19699.16,3519.36,2100.19,2106.04,5542.63,6587.29,6488.53,7118.67,8803.33,11872.93,18418.88,30656.47,44817.3,59881.26,79955.18,100160.35,119629.66,131771.43,209753.33,117534.9,92218.43,66612.94,25605.49,21661.67,3943.82
USA,1979,2,short,4,S001,8877.06,372.5,153.17,64.07,53,93.73,102.11,115.96,127.6,146.2,154.07,222.78,338.79,540.07,607.75,808.5,990.52,1137.85,1092.22,1756.12,1021.23,734.75,523.38,211.41,180.18,31.21
USA,1979,2,short,4,S002,190888.98,84.03,305.69,361.19,348.56,473.63,632.09,934.55,1698.92,2698.63,4407.58,7703.99,13453.89,18940.66,22710.02,26421.04,26260.99,24233.17,19900.82,19319.52,12764.89,6546.91,5248.3,1295.29,1174.57,119.57
USA,1979,2,short,4,S003,3054.68,67.13,55.88,22.08,28.45,44.77,63.13,66.87,83.29,73.17,72.5,92.63,132.78,184.76,183.03,241,301.07,348.76,396.35,597.04,346.27,250.72,185.84,64.85,58.67,6.13
USA,1979,2,short,4,S004,26215.11,176.81,95.08,95.36,96.71,117.85,153.83,181.08,228.74,286.75,321.43,518.88,870.42,1483.5,2110.4,2854.31,3637.29,4076.91,3940.13,4969.61,3025.96,1942.69,1452.49,489.89,419.26,70.55
USA,1979,2,short,4,S005,6436.54,5.82,19.26,19.36,19.49,26.23,59.73,120.05,120.85,144.51,166.35,185.45,262.89,266.69,252.96,294.72,435.56,656.67,1104.4,2275.54,1182.95,1092.96,775.17,317.88,271.51,46.33
USA,1979,2,short,4,S006,10983.38,421.25,297.67,168.64,145.57,137.79,203.22,210.41,245.93,245.81,279.33,314.84,503.13,689.72,869.1,1085.92,1282.51,1385.7,1168.03,1328.81,797.4,531.2,388.99,142.18,123.41,18.72
USA,1979,2,short,4,S007,340174.44,211.69,129.22,55.78,75.8,138.85,281.97,379.65,599.83,1015.63,1847.55,3431.93,6739.77,11782.94,19112.14,29011.82,41420.74,54123.39,63269.44,106546.31,58336.61,48215.15,34556.03,13660.85,11461.07,2201.17
USA,1979,2,short,4,S008,100298.97,61.83,17,18,25.07,54.96,121.12,168.86,279.27,415.85,669.96,1119.47,1749.56,2670.88,3976.92,6559.38,10609.94,15622.26,20429.35,35729.3,20004.74,15724.63,11462.21,4261.76,3664.8,596.09
USA,1979,2,short,4,S009,26296.66,15.01,6.17,3.26,4.24,19.54,32.92,49.42,51.27,73.02,130.58,202.84,322.52,569.43,917.79,1596.82,2314.53,3446.52,4897.12,11643.65,5612.4,6034.88,4042.98,1993.92,1618.96,375.94
USA,1979,2,short,4,S010,15773.92,440.98,149.05,51.74,45.19,58.54,69.85,84.55,87.23,104.66,131.76,173.58,249.52,372.54,525.69,734.05,1112.12,1798.95,2954.94,6628.96,3269.74,3360.99,2276.25,1085.71,886.11,200.08
USA,1979,2,short,4,S011,23357.38,228.82,100.38,39.91,32.95,82.47,94.02,110.95,109.32,191.73,255.9,416.87,876.57,1460.55,2420.51,3108.41,3582.48,3594.19,2905.77,3745.59,2257.01,1487.96,1055.06,433.02,368.19,64.8
