"age" "pop"
"[0,1)" 0 0.0179082459410989
"[1,2)" 1 0.0178036039898935
"[2,3)" 2 0.0177050988259855
"[3,4)" 3 0.0176155877928212
"[4,5)" 4 0.0175372982046462
"[5,6)" 5 0.0174703048755981
"[6,7)" 6 0.0174140219297853
"[7,8)" 7 0.0173670367185564
"[8,9)" 8 0.0173276116090712
"[9,10)" 9 0.0172934037016826
"[10,11)" 10 0.0172619354101475
"[11,12)" 11 0.017230701674892
"[12,13)" 12 0.0171974271532719
"[13,14)" 13 0.0171608021684528
"[14,15)" 14 0.0171195598433814
"[15,16)" 15 0.0170714450222585
"[16,17)" 16 0.0170139092703937
"[17,18)" 17 0.0169442506307685
"[18,19)" 18 0.0168605144291251
"[19,20)" 19 0.0167646326412108
"[20,21)" 20 0.0166598141579176
"[21,22)" 21 0.0165495582671396
"[22,23)" 22 0.0164370143782563
"[23,24)" 23 0.0163229675539361
"[24,25)" 24 0.0162074093263566
"[25,26)" 25 0.0160906975077198
"[26,27)" 26 0.0159733884842111
"[27,28)" 27 0.0158564660883213
"[28,29)" 28 0.0157406513835028
"[29,30)" 29 0.0156236347494867
"[30,31)" 30 0.0155017475490525
"[31,32)" 31 0.0153705989960654
"[32,33)" 32 0.015225933615314
"[33,34)" 33 0.0150666605061256
"[34,35)" 34 0.0148933385698881
"[35,36)" 35 0.0147073234138001
"[36,37)" 36 0.0145102406943122
"[37,38)" 37 0.0143026006858111
"[38,39)" 38 0.014084554575553
"[39,40)" 39 0.0138585539640555
"[40,41)" 40 0.013628385562722
"[41,42)" 41 0.0133989351701523
"[42,43)" 42 0.0131752562599599
"[43,44)" 43 0.01295814091953
"[44,45)" 44 0.0127455286871078
"[45,46)" 45 0.0125328363936067
"[46,47)" 46 0.0123140924432639
"[47,48)" 47 0.0120854853310246
"[48,49)" 48 0.0118448953847164
"[49,50)" 49 0.0115913576085097
"[50,51)" 50 0.0113247178678575
"[51,52)" 51 0.0110439691009156
"[52,53)" 52 0.0107476165151096
"[53,54)" 53 0.0104361334834087
"[54,55)" 54 0.0101116527674569
"[55,56)" 55 0.00977760891816734
"[56,57)" 56 0.00943834422879788
"[57,58)" 57 0.00909715812150657
"[58,59)" 58 0.008756365388324
"[59,60)" 59 0.00841795206949131
"[60,61)" 60 0.00808362887712756
"[61,62)" 61 0.00775523321810111
"[62,63)" 62 0.00743466339122421
"[63,64)" 63 0.00712217724417492
"[64,65)" 64 0.00681640529383841
"[65,66)" 65 0.0065150472365601
"[66,67)" 66 0.0062149595232256
"[67,68)" 67 0.00591420640535582
"[68,69)" 68 0.00561219882403534
"[69,70)" 69 0.00530961568901141
"[70,71)" 70 0.00500841115130953
"[71,72)" 71 0.00471036707100885
"[72,73)" 72 0.00441695645534904
"[73,74)" 73 0.00412903453953158
"[74,75)" 74 0.00384674288325844
"[75,76)" 75 0.0035700775305425
"[76,77)" 76 0.00329886659900816
"[77,78)" 77 0.00303326502294761
"[78,79)" 78 0.00277375338269999
"[79,80)" 79 0.00252106376572833
"[80,81)" 80 0.00227610499153966
"[81,82)" 81 0.00203977231505373
"[82,83)" 82 0.00181280779824624
"[83,84)" 83 0.00159604733040759
"[84,85)" 84 0.00139030255554343
"[85,86)" 85 0.00119670223366992
"[86,87)" 86 0.00101658565038168
"[87,88)" 87 0.000851386345542572
"[88,89)" 88 0.000702510583842339
"[89,90)" 89 0.000570936397571985
"[90,91)" 90 0.00045719966466957
"[91,92)" 91 0.000361039411331971
"[92,93)" 92 0.000281590842598875
"[93,94)" 93 0.000217307758973644
"[94,95)" 94 0.000166267241592104
"[95,96)" 95 0.000126366420047628
"[96,97)" 96 9.55245606304405e-05
"[97,98)" 97 7.18918928386986e-05
"[98,99)" 98 5.38819470005552e-05
"[99,100)" 99 4.0227239452666e-05
"[100,101)" 100 2.99392813921273e-05
"[101,102)" 101 2.22334733717466e-05
"[102,103)" 102 1.64931484526936e-05
"[103,104)" 103 1.22344949266433e-05
"[104,105)" 104 9.08054350837488e-06
"[105,106)" 105 6.74622009533662e-06
"[106,107)" 106 5.01756426825247e-06
"[107,108)" 107 3.73614839671304e-06
"[108,109)" 108 2.78486456236925e-06
"[109,110)" 109 2.07757939989831e-06
"[110,111)" 110 1.55087515682024e-06
